EC	Gene	Nuccore	Virus
675	ORF34	MK733606.1	HHV8
676	ORF35	MK733606.1	HHV8
677	ORF36	MK733606.1	HHV8
678	ORF37	MK733606.1	HHV8
679	ORF38	MK733606.1	HHV8
680	ORF39	MK733606.1	HHV8
681	ORF40	MK733606.1	HHV8
682	ORF42	MK733606.1	HHV8
683	ORF43	MK733606.1	HHV8
684	ORF44	MK733606.1	HHV8
685	ORF45	MK733606.1	HHV8
686	ORF46	MK733606.1	HHV8
687	ORF47	MK733606.1	HHV8
688	ORF48	MK733606.1	HHV8
689	ORF50	MK733606.1	HHV8
690	ORF49	MK733606.1	HHV8
691	K8	MK733606.1	HHV8
692	K8.1	MK733606.1	HHV8
693	ORF52	MK733606.1	HHV8
694	ORF53	MK733606.1	HHV8
695	ORF54	MK733606.1	HHV8
696	ORF55	MK733606.1	HHV8
697	ORF56	MK733606.1	HHV8
698	ORF57	MK733606.1	HHV8
699	vIRF-1	MK733606.1	HHV8
700	vIRF-4	MK733606.1	HHV8
701	vIRF-3	MK733606.1	HHV8
702	vIRF-2	MK733606.1	HHV8
703	ORF58	MK733606.1	HHV8
704	ORF59	MK733606.1	HHV8
705	ORF60	MK733606.1	HHV8
706	ORF61	MK733606.1	HHV8
707	ORF62	MK733606.1	HHV8
708	ORF63	MK733606.1	HHV8
709	ORF64	MK733606.1	HHV8
710	ORF65	MK733606.1	HHV8
711	ORF66	MK733606.1	HHV8
712	ORF67	MK733606.1	HHV8
713	ORF67A	MK733606.1	HHV8
714	ORF68	MK733606.1	HHV8
715	ORF69	MK733606.1	HHV8
716	K12	MK733606.1	HHV8
717	ORF71	MK733606.1	HHV8
718	ORF72	MK733606.1	HHV8
719	ORF73	MK733606.1	HHV8
720	K14	MK733606.1	HHV8
721	K14	MK733606.1	HHV8
722	ORF75	MK733606.1	HHV8
723	K15	MK733606.1	HHV8
